
ID,"Salesorder No","Due Date","No of Delivery orders","Deliveryorder No","Deliveryorder Date","Invoice No","Invoice Date","Quotation No","Ref No","Job Status",Remarks,"Responsible Person","Customer Name","Salesperson Name","Branch Name","Instrument Name","Brand Name","Model No",Range,"Cal Location","Cal Type","Unit Price","Account Service",Title1,Title2,Title3,Title4,Title5
11,BSO-15-000004,30-March-15,2,"BDO-15-000004,BDO-15-000009","2015-03-26,2015-03-31",,,BQS-15-000003,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"TORQUE WRENCH",CRAFTSMAN,TQR4589,(50~200)/Nm,onsite,Singlas,67.2,"calibration service",,WOODLANDS,,,
12,BSO-15-000004,30-March-15,2,"BDO-15-000004,BDO-15-000009","2015-03-26,2015-03-31",,,BQS-15-000003,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"TORQUE WRENCH",CRAFTSMAN,TQR4589,(50~200)/Nm,onsite,Singlas,67.2,"calibration service",,JURONG,,,
13,BSO-15-000004,30-March-15,2,"BDO-15-000004,BDO-15-000009","2015-03-26,2015-03-31",,,BQS-15-000003,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"TORQUE WRENCH",CRAFTSMAN,TQR4589,(50~200)/Nm,onsite,Singlas,67.2,"calibration service",,YISHUN,,,
14,BSO-15-000005,30-March-15,2,"BDO-15-000005,BDO-15-000007","2015-03-26,2015-03-26",,,BQS-15-000005,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"PRESSURE GAUGE",-,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
15,BSO-15-000005,30-March-15,2,"BDO-15-000005,BDO-15-000007","2015-03-26,2015-03-26",,,BQS-15-000005,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"PRESSURE GAUGE",-,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
16,BSO-15-000005,30-March-15,2,"BDO-15-000005,BDO-15-000007","2015-03-26,2015-03-26",,,BQS-15-000005,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"PRESSURE GAUGE",-,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
17,BSO-15-000005,30-March-15,2,"BDO-15-000005,BDO-15-000007","2015-03-26,2015-03-26",,,BQS-15-000005,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"PRESSURE GAUGE",-,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
18,BSO-15-000005,30-March-15,2,"BDO-15-000005,BDO-15-000007","2015-03-26,2015-03-26",,,BQS-15-000005,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"PRESSURE GAUGE",-,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
19,BSO-15-000007,30-March-15,1,BDO-15-000012,2015-03-31,,,BQS-15-000006,CPO-15-000003,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
20,BSO-15-000007,30-March-15,1,BDO-15-000012,2015-03-31,,,BQS-15-000006,CPO-15-000003,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
21,BSO-15-000007,30-March-15,1,BDO-15-000012,2015-03-31,,,BQS-15-000006,CPO-15-000003,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
22,BSO-15-000008,04-Apr-2015,2,"BDO-15-000010,BDO-15-000011","2015-03-31,2015-03-31",,,BQS-15-000008,CPO-15-000004,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
23,BSO-15-000008,04-Apr-2015,2,"BDO-15-000010,BDO-15-000011","2015-03-31,2015-03-31",,,BQS-15-000008,CPO-15-000004,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
24,BSO-15-000008,04-Apr-2015,2,"BDO-15-000010,BDO-15-000011","2015-03-31,2015-03-31",,,BQS-15-000008,CPO-15-000004,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
25,BSO-15-000006,30-March-15,2,"BDO-15-000006,BDO-15-000008","2015-03-26,2015-03-26",,,BQS-15-000007,PO#,Incomplete,,-,"New Pvt Ltd",aaa,,"AC AMMETER",-,2345,(0~100)/A,Inlab,Singlas,32.2,"calibration service",,,,,
26,BSO-15-000006,30-March-15,2,"BDO-15-000006,BDO-15-000008","2015-03-26,2015-03-26",,,BQS-15-000007,PO#,Incomplete,,-,"New Pvt Ltd",aaa,,"AC AMMETER",-,2345,(0~100)/A,Inlab,Singlas,32.2,"calibration service",,,,,
